ID,Education
180,Post Graduate
181,Graduate Professional
182,Graduate
183,Graduate
184,Graduate
185,Graduate Professional
186,Graduate
187,10th Pass
188,10th Pass
189,Post Graduate
190,Graduate
191,Graduate Professional
192,10th Pass
193,Doctorate
194,Graduate Professional
195,Graduate
196,Post Graduate
197,10th Pass
198,8th Pass
199,Graduate
200,12th Pass
201,Post Graduate
202,Graduate
203,Graduate
204,Graduate Professional
205,10th Pass
206,12th Pass
207,10th Pass
208,10th Pass
209,12th Pass
210,10th Pass
211,12th Pass
212,Post Graduate
213,12th Pass
214,8th Pass
215,12th Pass
216,10th Pass
217,Post Graduate
218,10th Pass
219,Graduate
220,12th Pass
221,Graduate
222,Post Graduate
223,Graduate
224,10th Pass
225,Graduate
226,Post Graduate
227,Graduate
228,Post Graduate
229,Post Graduate
230,Post Graduate
231,Graduate
232,Graduate
233,Graduate Professional
234,10th Pass
235,Graduate
236,Graduate
237,12th Pass
238,12th Pass
239,Graduate Professional
240,Post Graduate
241,Graduate Professional
242,Graduate
243,10th Pass
244,8th Pass
245,Post Graduate
246,12th Pass
247,Graduate Professional
248,Graduate
249,Literate
250,Graduate Professional
251,Post Graduate
252,Doctorate
253,12th Pass
254,8th Pass
255,Graduate
256,Graduate
257,Graduate
258,12th Pass
259,10th Pass
260,Graduate Professional
261,Post Graduate
262,Graduate
263,12th Pass
264,10th Pass
265,Post Graduate
266,Post Graduate
267,Post Graduate
268,12th Pass
269,Graduate
270,Graduate
271,Graduate Professional
272,Graduate Professional
273,Post Graduate
274,12th Pass
275,12th Pass
276,12th Pass
277,Graduate
278,Graduate
279,Graduate
280,Graduate
281,10th Pass
282,Graduate
283,Graduate
284,Graduate
285,Post Graduate
286,Graduate
287,Graduate
288,Graduate Professional
289,Graduate
290,Post Graduate
291,Post Graduate
292,12th Pass
293,Doctorate
294,12th Pass
295,Post Graduate
296,Graduate
297,Graduate Professional
298,Post Graduate
299,8th Pass
300,Graduate Professional
301,Post Graduate
302,10th Pass
303,Graduate
304,Post Graduate
305,12th Pass
306,Post Graduate
307,Post Graduate
308,10th Pass
309,Graduate
310,Graduate
311,10th Pass
312,10th Pass
313,Graduate
314,Graduate
315,Graduate
316,Graduate Professional
317,10th Pass
318,Graduate
319,Graduate
320,12th Pass
321,Graduate
322,Post Graduate
323,Graduate Professional
324,Post Graduate
325,Post Graduate
326,Post Graduate
327,Post Graduate
328,Graduate Professional
329,Graduate
330,12th Pass
331,Graduate Professional
332,Graduate Professional
333,Graduate
334,Post Graduate
335,Graduate Professional
336,10th Pass
337,10th Pass
338,Graduate
339,Post Graduate
340,10th Pass
341,Graduate Professional
342,10th Pass
343,12th Pass
344,Graduate
345,12th Pass
346,Others
347,Graduate
348,Graduate Professional
349,12th Pass
350,Graduate Professional
351,Graduate Professional
352,Graduate
353,Graduate
354,Post Graduate
355,10th Pass
356,10th Pass
357,Graduate
358,Post Graduate
359,Graduate
360,Graduate
361,Graduate
362,Graduate
363,Post Graduate
364,10th Pass
365,Graduate Professional
366,Doctorate
367,Post Graduate
368,Graduate
369,Post Graduate
370,Graduate Professional
371,Graduate Professional
372,Graduate Professional
373,Post Graduate
374,Graduate Professional
375,Post Graduate
376,Graduate
377,Graduate Professional
378,10th Pass
379,10th Pass
380,10th Pass
381,12th Pass
382,10th Pass
383,Graduate
384,10th Pass
385,Graduate
386,Doctorate
387,Post Graduate
388,Post Graduate
389,Graduate
390,Graduate Professional
391,Doctorate
392,Graduate Professional
393,Graduate Professional
394,10th Pass
395,Graduate
396,Graduate Professional
397,Graduate Professional
398,Graduate Professional
399,Doctorate
400,Graduate Professional
401,Graduate Professional
402,Graduate Professional
403,Others
404,Graduate
405,Post Graduate
406,Graduate
407,12th Pass
408,12th Pass
409,12th Pass
410,Graduate
411,Graduate Professional
412,Post Graduate
413,12th Pass
414,Graduate
415,Graduate Professional
416,12th Pass
417,10th Pass
418,10th Pass
419,Graduate Professional
420,Graduate
421,Graduate
422,12th Pass
423,Post Graduate
424,Graduate
425,Post Graduate
426,12th Pass
427,Graduate
428,12th Pass
429,Graduate
430,Post Graduate
431,Graduate
432,Graduate
433,Graduate Professional
434,Graduate Professional
435,Graduate Professional
436,Post Graduate
437,Graduate Professional
438,12th Pass
439,Post Graduate
440,Post Graduate
441,Graduate
442,12th Pass
443,Graduate
444,8th Pass
445,Post Graduate
446,Graduate Professional
447,Graduate
448,Post Graduate
449,8th Pass
450,10th Pass
451,Post Graduate
452,Post Graduate
453,Graduate Professional
454,Post Graduate
455,Graduate
456,12th Pass
457,10th Pass
458,10th Pass
459,Post Graduate
460,Post Graduate
461,Graduate
462,Graduate Professional
463,10th Pass
464,Graduate
465,Post Graduate
466,Graduate Professional
467,12th Pass
468,Graduate
469,Graduate Professional
470,Graduate
471,12th Pass
472,Graduate Professional
473,10th Pass
474,Post Graduate
475,12th Pass
476,12th Pass
477,12th Pass
478,12th Pass
479,Graduate
480,Graduate
481,Graduate
482,Graduate Professional
483,Graduate Professional
484,Graduate Professional
485,10th Pass
486,Doctorate
487,Doctorate
488,Post Graduate
489,12th Pass
490,12th Pass
491,Graduate
492,Graduate
493,12th Pass
494,Graduate
495,Graduate
496,Graduate
497,Graduate Professional
498,Post Graduate
499,12th Pass
500,Post Graduate
501,10th Pass
502,Graduate
503,10th Pass
504,Graduate
505,Graduate
506,Post Graduate
507,Post Graduate
508,Graduate Professional
509,Post Graduate
510,Graduate
511,10th Pass
512,Graduate
513,Graduate
514,10th Pass
515,12th Pass
516,Post Graduate
517,Graduate
518,Graduate
519,Graduate
520,Graduate Professional
521,Graduate
522,Graduate Professional
523,12th Pass
524,12th Pass
525,12th Pass
526,Graduate
527,Graduate Professional
528,Graduate
529,Graduate Professional
530,10th Pass
531,Doctorate
532,12th Pass
533,Graduate Professional
534,Graduate
535,Graduate Professional
536,Graduate Professional
537,Graduate Professional
538,8th Pass
539,12th Pass
540,12th Pass
541,Graduate
542,Post Graduate
543,Graduate
544,Graduate
545,Graduate
546,Graduate Professional
547,12th Pass
548,Graduate
549,12th Pass
550,Graduate Professional
551,12th Pass
552,Post Graduate
553,Graduate Professional
554,Graduate
555,Post Graduate
556,Post Graduate
557,Graduate
558,Graduate
559,Graduate
560,10th Pass
561,12th Pass
562,10th Pass
563,Graduate
564,12th Pass
565,Graduate
566,Graduate
567,Doctorate
568,Graduate
569,Post Graduate
570,Graduate
571,10th Pass
572,Graduate
573,12th Pass
574,12th Pass
575,12th Pass
576,12th Pass
577,12th Pass
578,12th Pass
579,Graduate Professional
580,12th Pass
581,10th Pass
582,12th Pass
583,12th Pass
584,10th Pass
585,Graduate Professional
586,Graduate Professional
587,Graduate Professional
588,Graduate
589,Post Graduate
590,12th Pass
591,Graduate Professional
592,12th Pass
593,10th Pass
594,Graduate Professional
595,Post Graduate
596,10th Pass
597,8th Pass
598,Graduate
599,Post Graduate
600,Graduate
601,Post Graduate
602,Graduate Professional
603,Graduate Professional
604,Graduate
605,10th Pass
606,Graduate
607,Graduate
608,10th Pass
609,12th Pass
610,Post Graduate
611,Graduate Professional
612,Graduate Professional
613,Post Graduate
614,10th Pass
615,Graduate
616,5th Pass
617,Post Graduate
618,10th Pass
619,Graduate
620,Graduate Professional
621,Graduate Professional
622,Post Graduate
623,12th Pass
624,12th Pass
625,Graduate
626,Graduate
627,Graduate Professional
628,Graduate
629,10th Pass
630,10th Pass
631,Post Graduate
632,Graduate Professional
633,Post Graduate
634,Graduate Professional
635,Graduate Professional
636,Doctorate
637,Post Graduate
638,12th Pass
639,Graduate Professional
640,Graduate
641,Graduate
642,Graduate
643,Post Graduate
644,5th Pass
645,Graduate Professional
646,12th Pass
647,Post Graduate
648,10th Pass
649,Graduate Professional
650,Graduate
651,Graduate
652,Post Graduate
653,Post Graduate
654,Graduate
655,12th Pass
656,Post Graduate
657,Graduate
658,Graduate
659,10th Pass
660,10th Pass
661,Graduate
662,Graduate
663,Graduate
664,Post Graduate
665,Graduate
666,Post Graduate
667,12th Pass
668,Graduate
669,12th Pass
670,Post Graduate
671,Graduate
672,12th Pass
673,Post Graduate
674,Others
675,10th Pass
676,10th Pass
677,Graduate
678,Graduate Professional
679,Graduate
680,Post Graduate
681,Graduate Professional
682,Post Graduate
683,Graduate
684,12th Pass
685,12th Pass
686,Post Graduate
687,Graduate
688,Graduate
689,Literate
690,Graduate
691,Post Graduate
692,Graduate Professional
693,12th Pass
694,Graduate
695,Graduate
696,Graduate
697,Graduate Professional
698,10th Pass
699,10th Pass
700,Post Graduate
701,Graduate Professional
702,Post Graduate
703,Graduate
704,12th Pass
705,Graduate Professional
706,Post Graduate
707,12th Pass
708,Graduate
709,Graduate
710,Graduate Professional
711,Doctorate
712,Post Graduate
713,Post Graduate
714,Post Graduate
715,Graduate Professional
716,Graduate
717,Graduate Professional
718,Graduate
719,Graduate
720,12th Pass
721,Graduate
722,Graduate
723,Others
724,Post Graduate
725,Post Graduate
726,Graduate
727,Graduate
728,Graduate Professional
729,12th Pass
730,10th Pass
731,12th Pass
732,Graduate
733,Graduate Professional
734,Post Graduate
735,10th Pass
736,Graduate
737,12th Pass
738,Post Graduate
739,Post Graduate
740,Graduate
741,Post Graduate
742,12th Pass
743,Post Graduate
744,Post Graduate
745,Graduate
746,Graduate Professional
747,Graduate
748,Graduate Professional
749,Graduate
750,8th Pass
751,Graduate
752,12th Pass
753,Post Graduate
754,Graduate
755,12th Pass
756,12th Pass
757,Graduate
758,10th Pass
759,Graduate
760,10th Pass
761,Post Graduate
762,Graduate
763,Graduate
764,Graduate
765,Graduate
766,Graduate Professional
767,Post Graduate
768,Graduate
769,10th Pass
770,10th Pass
771,Graduate Professional
772,Graduate
773,Graduate
774,Graduate
775,Graduate Professional
776,8th Pass
777,Graduate
778,Post Graduate
779,12th Pass
780,Post Graduate
781,Graduate
782,Post Graduate
783,Graduate
784,Doctorate
785,Post Graduate
786,12th Pass
787,Post Graduate
788,Post Graduate
789,10th Pass
790,Post Graduate
791,Post Graduate
792,Graduate Professional
793,12th Pass
794,Graduate
795,Graduate
796,Graduate
797,Graduate
798,10th Pass
799,Graduate
800,Graduate Professional
801,Graduate
802,10th Pass
803,12th Pass
804,Post Graduate
805,Post Graduate
806,Others
807,Graduate Professional
808,Post Graduate
809,Post Graduate
810,Graduate
811,12th Pass
812,Post Graduate
813,Graduate
814,Graduate Professional
815,Post Graduate
816,Post Graduate
817,12th Pass
818,Graduate Professional
819,Post Graduate
820,10th Pass
821,Graduate
822,Graduate
823,Graduate Professional
824,Graduate Professional
825,12th Pass
826,12th Pass
827,12th Pass
828,Post Graduate
829,Graduate
830,Graduate
831,Graduate
832,Graduate
833,Post Graduate
834,Doctorate
835,12th Pass
836,Graduate
837,12th Pass
838,Post Graduate
839,Post Graduate
840,Post Graduate
841,Graduate
842,Graduate Professional
843,Graduate
844,Graduate Professional
845,10th Pass
846,8th Pass
847,Graduate
848,Graduate Professional
849,10th Pass
850,Graduate Professional
851,12th Pass
852,Graduate
853,12th Pass
854,Post Graduate
855,10th Pass
856,Graduate Professional
857,Graduate
858,Graduate
859,Graduate
860,10th Pass
861,Post Graduate
862,12th Pass
863,8th Pass
864,10th Pass
865,Post Graduate
866,Graduate
867,10th Pass
868,Graduate Professional
869,12th Pass
870,12th Pass
871,12th Pass
872,Graduate Professional
873,Post Graduate
874,Graduate
875,Graduate
876,10th Pass
877,12th Pass
878,Graduate Professional
879,Graduate
880,8th Pass
881,Post Graduate
882,Graduate
883,8th Pass
884,12th Pass
885,Graduate Professional
886,Post Graduate
887,12th Pass
888,Graduate Professional
889,Graduate
890,Post Graduate
891,Graduate
892,8th Pass
893,10th Pass
894,12th Pass
895,10th Pass
896,Graduate
897,Graduate
898,10th Pass
899,Post Graduate
900,Graduate
901,Graduate
902,Graduate
903,Post Graduate
904,Graduate
905,12th Pass
906,Post Graduate
907,Post Graduate
908,10th Pass
909,Post Graduate
910,Graduate
911,Graduate
912,Post Graduate
913,Graduate
914,10th Pass
915,Graduate
916,Post Graduate
917,Post Graduate
918,Post Graduate
919,Graduate
920,Graduate
921,Post Graduate
922,Graduate
923,8th Pass
924,12th Pass
925,10th Pass
926,Post Graduate
927,12th Pass
928,Graduate
929,12th Pass
930,10th Pass
931,Graduate Professional
932,Graduate Professional
933,12th Pass
934,Graduate
935,Post Graduate
936,10th Pass
937,10th Pass
938,12th Pass
939,Graduate Professional
940,Graduate
941,Graduate Professional
942,Graduate
943,Post Graduate
944,8th Pass
945,12th Pass
946,10th Pass
947,Graduate
948,Graduate
949,Post Graduate
950,Post Graduate
951,Post Graduate
952,Graduate Professional
953,Graduate
954,Graduate
955,10th Pass
956,10th Pass
957,Graduate
958,Graduate
959,Graduate
960,Graduate
961,12th Pass
962,Graduate
963,Graduate
964,Graduate
965,Graduate Professional
966,Graduate Professional
967,8th Pass
968,8th Pass
969,Graduate
970,Graduate
971,Graduate
972,10th Pass
973,Graduate
974,12th Pass
975,Graduate Professional
976,Graduate
977,Graduate Professional
978,Graduate
979,Post Graduate
980,Post Graduate
981,Graduate
982,Graduate
983,Graduate Professional
984,Graduate
985,Graduate
986,Graduate Professional
987,Post Graduate
988,Post Graduate
989,12th Pass
990,Graduate
991,Post Graduate
992,Graduate
993,12th Pass
994,10th Pass
995,Post Graduate
996,12th Pass
997,12th Pass
998,Post Graduate
999,12th Pass
1000,12th Pass
1001,Others
1002,Post Graduate
1003,Graduate Professional
1004,12th Pass
1005,8th Pass
1006,12th Pass
1007,Graduate Professional
1008,Graduate
1009,Post Graduate
1010,Post Graduate
1011,10th Pass
1012,Post Graduate
1013,Post Graduate
1014,12th Pass
1015,Graduate Professional
1016,Graduate
1017,10th Pass
1018,Graduate Professional
1019,12th Pass
1020,Graduate
1021,Post Graduate
1022,Graduate
1023,12th Pass
1024,Post Graduate
1025,10th Pass
1026,Graduate Professional
1027,Graduate
1028,12th Pass
1029,Graduate
1030,Post Graduate
1031,10th Pass
1032,Graduate Professional
1033,12th Pass
1034,8th Pass
1035,Post Graduate
1036,Graduate Professional
1037,12th Pass
1038,12th Pass
1039,Graduate
1040,Post Graduate
1041,Graduate
1042,12th Pass
1043,12th Pass
1044,12th Pass
1045,Graduate Professional
1046,Graduate
1047,12th Pass
1048,12th Pass
1049,Post Graduate
1050,Graduate
1051,Graduate Professional
1052,Graduate
1053,Post Graduate
1054,Graduate Professional
1055,Graduate Professional
1056,Post Graduate
1057,12th Pass
1058,Graduate
1059,Graduate Professional
1060,Graduate Professional
1061,Graduate
1062,Graduate
1063,12th Pass
1064,Literate
1065,Post Graduate
1066,12th Pass
1067,Graduate Professional
1068,12th Pass
1069,Graduate
1070,12th Pass
1071,Graduate Professional
1072,Post Graduate
1073,Doctorate
1074,Graduate
1075,12th Pass
1076,Graduate
1077,Doctorate
1078,12th Pass
1079,Graduate Professional
1080,12th Pass
1081,Post Graduate
1082,Post Graduate
1083,Post Graduate
1084,Post Graduate
1085,12th Pass
1086,Graduate
1087,Graduate
1088,12th Pass
1089,10th Pass
1090,12th Pass
1091,Graduate Professional
1092,12th Pass
1093,10th Pass
1094,Graduate
1095,Graduate
1096,10th Pass
1097,8th Pass
1098,Graduate Professional
1099,10th Pass
1100,8th Pass
1101,Graduate
1102,Graduate
1103,12th Pass
1104,Graduate
1105,12th Pass
1106,Graduate
1107,Graduate
1108,Graduate
1109,Graduate
1110,12th Pass
1111,12th Pass
1112,Post Graduate
1113,5th Pass
1114,10th Pass
1115,Graduate Professional
1116,Graduate
1117,Graduate
1118,12th Pass
1119,8th Pass
1120,8th Pass
1121,Graduate
1122,5th Pass
1123,12th Pass
1124,Graduate Professional
1125,Graduate
1126,Graduate
1127,10th Pass
1128,12th Pass
1129,12th Pass
1130,Graduate Professional
1131,Graduate
1132,Graduate
1133,10th Pass
1134,Graduate
1135,12th Pass
1136,Graduate
1137,12th Pass
1138,12th Pass
1139,Graduate
1140,Post Graduate
1141,Graduate Professional
1142,Post Graduate
1143,Graduate
1144,Graduate
1145,Graduate
1146,Post Graduate
1147,Post Graduate
1148,Graduate
1149,8th Pass
1150,Graduate Professional
1151,Graduate
1152,Graduate
1153,Graduate
1154,10th Pass
1155,12th Pass
1156,12th Pass
1157,Post Graduate
1158,10th Pass
1159,Graduate
1160,Graduate
1161,Graduate Professional
1162,Graduate
1163,Post Graduate
1164,Post Graduate
1165,Post Graduate
1166,Graduate
1167,Graduate
1168,Graduate
1169,Post Graduate
1170,10th Pass
1171,Graduate Professional
1172,Graduate Professional
1173,12th Pass
1174,Graduate
1175,Others
1176,Graduate
1177,Doctorate
1178,12th Pass
1179,Graduate
1180,Post Graduate
1181,Post Graduate
1182,12th Pass
1183,Graduate
1184,12th Pass
1185,Graduate
1186,Graduate
1187,12th Pass
1188,10th Pass
1189,Graduate
1190,Graduate
1191,Graduate
1192,Graduate Professional
1193,Post Graduate
1194,Graduate
1195,12th Pass
1196,10th Pass
1197,Graduate Professional
1198,12th Pass
1199,12th Pass
1200,Doctorate
1201,10th Pass
1202,Graduate Professional
1203,12th Pass
1204,12th Pass
1205,12th Pass
1206,Post Graduate
1207,Others
1208,Post Graduate
1209,Graduate
1210,Post Graduate
1211,Graduate Professional
1212,10th Pass
1213,10th Pass
1214,12th Pass
1215,Graduate
1216,Graduate Professional
1217,Post Graduate
1218,Graduate Professional
1219,Post Graduate
1220,Graduate
1221,Post Graduate
1222,Post Graduate
1223,Graduate
1224,12th Pass
1225,Graduate Professional
1226,12th Pass
1227,Graduate
1228,10th Pass
1229,Graduate Professional
1230,12th Pass
1231,Post Graduate
1232,Graduate
1233,Post Graduate
1234,Post Graduate
1235,Graduate Professional
1236,12th Pass
1237,Post Graduate
1238,Graduate Professional
1239,Graduate Professional
1240,Graduate Professional
1241,Post Graduate
1242,12th Pass
1243,Graduate Professional
1244,Graduate Professional
1245,Graduate
1246,Post Graduate
1247,Graduate Professional
1248,12th Pass
1249,Post Graduate
1250,12th Pass
1251,Graduate
1252,12th Pass
1253,10th Pass
1254,Graduate Professional
1255,Post Graduate
1256,Post Graduate
1257,Post Graduate
1258,Graduate
1259,10th Pass
1260,Post Graduate
1261,Graduate Professional
1262,5th Pass
1263,Post Graduate
1264,Post Graduate
1265,Graduate
1266,Graduate Professional
1267,Post Graduate
1268,Graduate Professional
1269,Graduate Professional
1270,Post Graduate
1271,Graduate
1272,Graduate
1273,Graduate Professional
1274,10th Pass
1275,Doctorate
1276,Graduate
1277,10th Pass
1278,Post Graduate
1279,Post Graduate
1280,Post Graduate
1281,Post Graduate
1282,Graduate
1283,Post Graduate
1284,Graduate Professional
1285,Post Graduate
1286,Graduate
1287,10th Pass
1288,10th Pass
1289,Post Graduate
1290,Graduate Professional
1291,Post Graduate
1292,Graduate Professional
1293,Graduate
1294,Post Graduate
1295,12th Pass
1296,Post Graduate
1297,10th Pass
1298,Post Graduate
1299,10th Pass
1300,Post Graduate
1301,Doctorate
1302,Graduate
1303,Graduate
1304,Post Graduate
1305,Graduate
1306,12th Pass
1307,Post Graduate
1308,Post Graduate
1309,Post Graduate
1310,12th Pass
1311,Graduate
1312,Graduate
1313,Post Graduate
1314,Graduate Professional
1315,Graduate
1316,Graduate
1317,10th Pass
1318,Graduate
1319,10th Pass
1320,Graduate
1321,Graduate
1322,Graduate
1323,Graduate Professional
1324,Doctorate
1325,Graduate Professional
1326,Graduate
1327,10th Pass
1328,12th Pass
1329,12th Pass
1330,12th Pass
1331,Post Graduate
1332,12th Pass
1333,10th Pass
1334,Graduate Professional
1335,Post Graduate
1336,Post Graduate
1337,10th Pass
1338,Graduate Professional
1339,Graduate
1340,Graduate
1341,Graduate
1342,10th Pass
1343,Graduate
1344,Graduate
1345,Graduate
1346,Graduate
1347,Post Graduate
1348,10th Pass
1349,10th Pass
1350,Post Graduate
1351,Graduate
1352,Graduate
1353,Graduate Professional
1354,Graduate
1355,Graduate
1356,Doctorate
1357,Post Graduate
1358,Graduate
1359,Graduate Professional
1360,Post Graduate
1361,Graduate
1362,Post Graduate
1363,Graduate Professional
1364,Post Graduate
1365,Post Graduate
1366,Graduate
1367,Graduate
1368,10th Pass
1369,Post Graduate
1370,12th Pass
1371,Graduate Professional
1372,10th Pass
1373,Post Graduate
